date,tvl,chain,tvl_start,tvl_current,tvl_delta
2024-07-08,1356541995.3098855,Base,1356541995.3098855,1397684841.830923,41142846.52103758
2024-07-09,1372368285.5895176,Base,1356541995.3098855,1397684841.830923,41142846.52103758
2024-07-10,1401181274.5966914,Base,1356541995.3098855,1397684841.830923,41142846.52103758
2024-07-11,1397684841.830923,Base,1356541995.3098855,1397684841.830923,41142846.52103758
2024-07-08,25631318.19824474,Fraxtal,25618720.231266916,26685282.715343796,1066562.48407688
2024-07-09,25618720.231266916,Fraxtal,25618720.231266916,26685282.715343796,1066562.48407688
2024-07-10,26123176.18738474,Fraxtal,25618720.231266916,26685282.715343796,1066562.48407688
2024-07-11,26685282.715343796,Fraxtal,25618720.231266916,26685282.715343796,1066562.48407688
2024-07-08,409261873.82481873,Mode,408286358.04189956,408620377.44689304,334019.4049934745
2024-07-09,408286358.04189956,Mode,408286358.04189956,408620377.44689304,334019.4049934745
2024-07-10,415998256.6819757,Mode,408286358.04189956,408620377.44689304,334019.4049934745
2024-07-11,408620377.44689304,Mode,408286358.04189956,408620377.44689304,334019.4049934745
2024-07-08,633787670.7347611,Optimism,633787670.7347611,653050955.939587,19263285.20482588
2024-07-09,643819711.1512223,Optimism,633787670.7347611,653050955.939587,19263285.20482588
2024-07-10,649461788.1049578,Optimism,633787670.7347611,653050955.939587,19263285.20482588
2024-07-11,653050955.939587,Optimism,633787670.7347611,653050955.939587,19263285.20482588
